,CustomerId,Surname,CreditScore,Geography,Gender,Age,EstimatedSalary,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
0,15634602,Hargrave,619,France,Female,42.0,101348.88,0.0,1,Yes,2,Yes,1
1,15647311,Hill,608,Spain,Female,41.0,112542.58,83807.86,1,Yes,1,Yes,0
2,15619304,Onio,502,France,Female,42.0,113931.57,159660.8,3,No,8,No,1
3,15701354,Boni,699,France,Female,39.0,93826.63,0.0,2,No,1,No,0
4,15737888,Mitchell,850,Spain,Female,43.0,79084.1,125510.82,1,Yes,2,Yes,0
5,15574012,Chu,645,Spain,Male,44.0,149756.71,113755.78,2,No,8,No,1
6,15592531,Bartlett,822,France,Male,50.0,10062.8,0.0,2,Yes,7,Yes,0
7,15656148,Obinna,376,Germany,Female,29.0,119346.88,115046.74,4,No,4,No,1
8,15792365,He,501,France,Male,44.0,74940.5,142051.07,2,Yes,4,Yes,0
9,15592389,H,684,France,Male,27.0,71725.73,134603.88,1,Yes,2,Yes,0
10,15767821,Bearce,528,France,Male,31.0,80181.12,102016.72,2,No,6,No,0
11,15737173,Andrews,497,Spain,Male,24.0,76390.01,0.0,2,No,3,No,0
12,15632264,Kay,476,France,Female,34.0,26260.98,0.0,2,No,10,No,0
13,15691483,Chin,549,France,Female,25.0,190857.79,0.0,2,No,5,No,0
14,15600882,Scott,635,Spain,Female,35.0,65951.65,0.0,2,Yes,7,Yes,0
15,15643966,Goforth,616,Germany,Male,45.0,64327.26,143129.41,2,Yes,3,Yes,0
16,15737452,Romeo,653,Germany,Male,58.0,5097.67,132602.88,1,No,1,No,1
17,15788218,Henderson,549,Spain,Female,24.0,14406.41,0.0,2,Yes,9,Yes,0
18,15661507,Muldrow,587,Spain,Male,45.0,158684.81,0.0,1,No,6,No,0
19,15568982,Hao,726,France,Female,24.0,54724.03,0.0,2,Yes,6,Yes,0
20,15577657,McDonald,732,France,Male,41.0,170886.17,0.0,2,Yes,8,Yes,0
21,15597945,Dellucci,636,Spain,Female,32.0,138555.46,0.0,2,No,8,No,0
22,15699309,Gerasimov,510,Spain,Female,38.0,118913.53,0.0,1,No,4,No,1
23,15725737,Mosman,669,France,Male,46.0,8487.75,0.0,2,Yes,3,Yes,0
24,15625047,Yen,846,France,Female,38.0,187616.16,0.0,1,Yes,5,Yes,0
25,15738191,Maclean,577,France,Male,25.0,124508.29,0.0,2,Yes,3,Yes,0
26,15736816,Young,756,Germany,Male,36.0,170041.95,136815.64,1,Yes,2,Yes,0
27,15700772,Nebechi,571,France,Male,44.0,38433.35,0.0,2,No,9,No,0
28,15656300,Lucciano,411,France,Male,29.0,53483.21,59697.17,2,Yes,0,Yes,0
29,15589475,Azikiwe,591,Spain,Female,39.0,140469.38,0.0,3,No,3,No,1
30,15706552,Odinakachukwu,533,France,Male,36.0,156731.91,85311.7,1,Yes,7,Yes,0
31,15750181,Sanderson,553,Germany,Male,41.0,81898.81,110112.54,2,No,9,No,0
32,15659428,Maggard,520,Spain,Female,42.0,34410.55,0.0,2,Yes,6,Yes,0
33,15732963,Clements,722,Spain,Female,29.0,142033.07,0.0,2,Yes,9,Yes,0
34,15794171,Lombardo,475,France,Female,45.0,27822.99,134264.04,1,No,0,No,1
35,15788448,Watson,490,Spain,Male,31.0,114066.77,145260.23,1,Yes,3,Yes,0
36,15729599,Lorenzo,804,Spain,Male,33.0,98453.45,76548.6,1,Yes,7,Yes,0
37,15717426,Armstrong,850,France,Male,36.0,40812.9,0.0,1,Yes,7,Yes,0
38,15585768,Cameron,582,Germany,Male,41.0,178074.04,70349.48,2,Yes,6,Yes,0
39,15619360,Hsiao,472,Spain,Male,40.0,70154.22,0.0,1,No,4,No,0
40,15738148,Clarke,465,France,Female,51.0,181297.65,122522.32,1,No,8,No,1
41,15687946,Osborne,556,France,Female,61.0,94153.83,117419.35,1,Yes,2,Yes,0
42,15755196,Lavine,834,France,Female,49.0,194365.76,131394.56,1,No,2,No,1
43,15684171,Bianchi,660,Spain,Female,61.0,158338.39,155931.11,1,Yes,5,Yes,0
44,15754849,Tyler,776,Germany,Female,32.0,126517.46,109421.13,2,Yes,4,Yes,0
45,15602280,Martin,829,Germany,Female,27.0,119708.21,112045.67,1,Yes,9,Yes,1
46,15771573,Okagbue,637,Germany,Female,39.0,117622.8,137843.8,1,Yes,9,Yes,1
47,15766205,Yin,550,Germany,Male,38.0,90878.13,103391.38,1,Yes,2,Yes,0
48,15771873,Buccho,776,Germany,Female,37.0,194099.12,103769.22,2,No,2,No,0
49,15616550,Chidiebele,698,Germany,Male,44.0,198059.16,116363.37,2,No,10,No,0
50,15768193,Trevisani,585,Germany,Male,36.0,86424.57,146050.97,2,No,5,No,0
51,15683553,O'Brien,788,France,Female,33.0,116978.19,0.0,2,No,5,No,0
52,15702298,Parkhill,655,Germany,Male,41.0,164040.94,125561.97,1,No,8,No,1
53,15569590,Yoo,601,Germany,Male,42.0,40014.76,98495.72,1,No,1,No,1
54,15760861,Phillipps,619,France,Male,43.0,113410.49,125211.92,1,Yes,1,Yes,0
55,15630053,Tsao,656,France,Male,45.0,87107.57,127864.4,1,No,5,No,0
56,15647091,Endrizzi,725,Germany,Male,19.0,45613.75,75888.2,1,No,0,No,0
57,15623944,T'ien,511,Spain,Female,66.0,1643.11,0.0,1,No,4,No,1
58,15804771,Velazquez,614,France,Male,51.0,46775.28,40685.92,1,Yes,4,Yes,0
59,15651280,Hunter,742,Germany,Male,35.0,84509.57,136857.0,1,No,5,No,0
60,15773469,Clark,687,Germany,Female,27.0,126494.82,152328.88,2,No,9,No,0
61,15702014,Jeffrey,555,Spain,Male,33.0,178798.13,56084.69,2,No,1,No,0
62,15751208,Pirozzi,684,Spain,Male,56.0,99398.36,78707.16,1,Yes,8,Yes,0
